x,y,z,yaw,velocity,change_flag
192.673324,993.609442,-0.000175,-1.77674873557,100.0,0
192.468824466,992.630575339,-0.000175,-1.77674892916,100.0,0
192.264324743,991.651708717,-0.000175,-1.77674892916,100.0,0
192.05982502,990.672842095,-0.000175,-1.77674814389,100.0,0
191.855326065,989.693975313,-0.000175,-1.77674873557,100.0,0
191.650826532,988.715108651,-0.000175,-1.77674843973,100.0,0
191.446327288,987.73624193,-0.000175,-1.77674843973,100.0,0
191.241828043,986.757375208,-0.000175,-1.77674873557,100.0,0
191.03732851,985.778508546,-0.000175,-1.77674843973,100.0,0
190.832829266,984.799641824,-0.000175,-1.77674843973,100.0,0
190.628330021,983.820775103,-0.000175,-1.77674873557,100.0,0
190.423830488,982.841908441,-0.000175,-1.77674892916,100.0,0
190.219330765,981.86304182,-0.000175,-1.77674892916,100.0,0
190.014831041,980.884175198,-0.000175,-1.77674873557,100.0,0
189.810331508,979.905308536,-0.000175,-1.77674843973,100.0,0
189.605832263,978.926441815,-0.000175,-1.77674843973,100.0,0
189.401333019,977.947575093,-0.000175,-1.77674873557,100.0,0
189.196833486,976.968708431,-0.000175,-1.77674843973,100.0,0
188.992334242,975.989841709,-0.000175,-1.77674878124,100.0,0
188.787834663,975.010975057,-0.000175,-1.77674878124,100.0,0
188.583335085,974.032108405,-0.000175,-1.77674824614,100.0,0
188.37883603,973.053241644,-0.000175,-1.77674868444,100.0,0
188.174336546,972.074374972,-0.000175,-1.77674868444,100.0,0
187.969837063,971.0955083,-0.000175,-1.77674873557,100.0,0
187.765337529,970.116641639,-0.000175,-1.77674843973,100.0,0
187.560838285,969.137774917,-0.000175,-1.77674843973,100.0,0
187.356339041,968.158908195,-0.000175,-1.77674873557,100.0,0
187.151839507,967.180041534,-0.000175,-1.77674843973,100.0,0
186.947340263,966.201174812,-0.000175,-1.77674843973,100.0,0
186.742841019,965.22230809,-0.000175,-1.77674873557,100.0,0
186.538341485,964.243441429,-0.000175,-1.77674843973,100.0,0
186.333842241,963.264574707,-0.000175,-1.77674888349,100.0,0
186.129342563,962.285708076,-0.000175,-1.77674851369,100.0,0
185.924843246,961.306841369,-0.000175,-1.77674881822,100.0,0
185.720343631,960.327974725,-0.000175,-1.77674881822,100.0,0
185.515844017,959.34910808,-0.000175,-1.77674873557,100.0,0
185.311344483,958.370241419,-0.000175,-1.77674843973,100.0,0
185.106845239,957.391374697,-0.000175,-1.77674829181,100.0,0
184.90234614,956.412507945,-0.000175,-1.77674829181,100.0,0
184.69784704,955.433641193,-0.000175,-1.77674873557,100.0,0
184.493347507,954.454774532,-0.000175,-1.77674892916,100.0,0
184.288847783,953.47590791,-0.000175,-1.77674892916,100.0,0
184.08434806,952.497041288,-0.000175,-1.77674824614,100.0,0
183.879849006,951.518174527,-0.000175,-1.77674868444,100.0,0
183.675349522,950.539307855,-0.000175,-1.77674868444,100.0,0
