x,y,z,yaw,velocity,change_flag
-131.029989,-82.916207,-8.3e-05,1.57428733356,15.0,0
-131.03348,-81.9162130936,-8.3e-05,1.57428733356,15.0,0
-131.036970999,-80.9162191871,-8.3e-05,1.57428633357,15.0,0
-131.040460999,-79.9162252772,-8.3e-05,1.57428733356,15.0,0
-131.043951999,-78.9162313707,-8.3e-05,1.57428733356,15.0,0
-131.047442998,-77.9162374643,-8.3e-05,1.57428633357,15.0,0
-131.050932998,-76.9162435544,-8.3e-05,1.57428733356,15.0,0
-131.054423998,-75.9162496479,-8.3e-05,1.57428733356,15.0,0
-131.057914997,-74.9162557415,-8.3e-05,1.57428633357,15.0,0
-131.061404997,-73.9162618315,-8.3e-05,1.5742873353,15.0,0
-131.064895999,-72.9162679251,-8.3e-05,1.5742873353,15.0,0
-131.068387,-71.9162740187,-8.3e-05,1.57428633357,15.0,0
-131.071877,-70.9162801087,-8.3e-05,1.57428733356,15.0,0
-131.075367999,-69.9162862023,-8.3e-05,1.57428633357,15.0,0
-131.078857999,-68.9162922924,-8.3e-05,1.57428733356,15.0,0
-131.082348999,-67.9162983859,-8.3e-05,1.57428733356,15.0,0
-131.085839998,-66.9163044795,-8.3e-05,1.57428633357,15.0,0
-131.089329998,-65.9163105696,-8.3e-05,1.57428733356,15.0,0
-131.092820998,-64.9163166631,-8.3e-05,1.57428733356,15.0,0
-131.096311997,-63.9163227567,-8.3e-05,1.57428633357,15.0,0
-131.099801997,-62.9163288467,-8.3e-05,1.5742873353,15.0,0
-131.103292998,-61.9163349403,-8.3e-05,1.5742873353,15.0,0
-131.106784,-60.9163410339,-8.3e-05,1.57428633357,15.0,0
-131.110274,-59.9163471239,-8.3e-05,1.57428733356,15.0,0
-131.113764999,-58.9163532175,-8.3e-05,1.57428733356,15.0,0
-131.117255999,-57.916359311,-8.3e-05,1.57428633357,15.0,0
-131.120745999,-56.9163654011,-8.3e-05,1.57428733356,15.0,0
-131.124236998,-55.9163714947,-8.3e-05,1.57428733356,15.0,0
-131.127727998,-54.9163775882,-8.3e-05,1.57428633357,15.0,0
-131.131217998,-53.9163836783,-8.3e-05,1.57428733356,15.0,0
-131.134708997,-52.9163897719,-8.3e-05,1.57428683531,15.0,0
-131.138199499,-51.9163958637,-8.3e-05,1.57428708443,15.0,0
-131.141690249,-50.9164019564,-8.3e-05,1.57428708443,15.0,0
-131.145181,-49.9164080491,-8.3e-05,1.57428633357,15.0,0
-131.148671,-48.9164141391,-8.3e-05,1.57428733356,15.0,0
-131.152161999,-47.9164202327,-8.3e-05,1.57428733356,15.0,0
-131.155652999,-46.9164263262,-8.3e-05,1.57428633357,15.0,0
-131.159142999,-45.9164324163,-8.3e-05,1.57428733356,15.0,0
-131.162633998,-44.9164385099,-8.3e-05,1.57428733356,15.0,0
-131.166124998,-43.9164446034,-8.3e-05,1.57428633357,15.0,0
-131.169614998,-42.9164506935,-8.3e-05,1.57428733356,15.0,0
-131.173105997,-41.916456787,-8.3e-05,1.57428683531,15.0,0
-131.176596499,-40.9164628789,-8.3e-05,1.57428708443,15.0,0
-131.180087249,-39.9164689716,-8.3e-05,1.57428708443,15.0,0
-131.183578,-38.9164750642,-8.3e-05,1.57428733356,15.0,0
-131.187068999,-37.9164811578,-8.3e-05,1.57428633357,15.0,0
-131.190558999,-36.9164872479,-8.3e-05,1.57428733356,15.0,0
-131.194049999,-35.9164933414,-8.3e-05,1.57428733356,15.0,0
-131.197540998,-34.916499435,-8.3e-05,1.57428633357,15.0,0
-131.201030998,-33.916505525,-8.3e-05,1.57428733356,15.0,0
-131.204521998,-32.9165116186,-8.3e-05,1.57428733356,15.0,0
-131.208012998,-31.9165177122,-8.3e-05,1.57428633357,15.0,0
-131.211502997,-30.9165238022,-8.3e-05,1.5742873353,15.0,0
-131.214993999,-29.9165298958,-8.3e-05,1.57428683443,15.0,0
-131.218484499,-28.9165359876,-8.3e-05,1.57428683443,15.0,0
-131.221975,-27.9165420794,-8.3e-05,1.57428733356,15.0,0
-131.225465999,-26.916548173,-8.3e-05,1.57428633357,15.0,0
-131.228955999,-25.9165542631,-8.3e-05,1.57428733356,15.0,0
-131.232446999,-24.9165603566,-8.3e-05,1.57428733356,15.0,0
-131.235937998,-23.9165664502,-8.3e-05,1.57428633357,15.0,0
-131.239427998,-22.9165725402,-8.3e-05,1.57428733356,15.0,0
-131.242918998,-21.9165786338,-8.3e-05,1.57428733356,15.0,0
-131.246409997,-20.9165847274,-8.3e-05,1.57428633357,15.0,0
-131.249899997,-19.9165908174,-8.3e-05,1.5742873353,15.0,0
-131.253390999,-18.916596911,-8.3e-05,1.5742873353,15.0,0
-131.256882,-17.9166030045,-8.3e-05,1.57428633357,15.0,0
-131.260372,-16.9166090946,-8.3e-05,1.57428733356,15.0,0
-131.263862999,-15.9166151882,-8.3e-05,1.57428733356,15.0,0
-131.267353999,-14.9166212817,-8.3e-05,1.57428633357,15.0,0
-131.270843999,-13.9166273718,-8.3e-05,1.57428733356,15.0,0
-131.274334998,-12.9166334654,-8.3e-05,1.57428733356,15.0,0
-131.277825998,-11.9166395589,-8.3e-05,1.57428633357,15.0,0
-131.281315998,-10.916645649,-8.3e-05,1.57428733356,15.0,0
-131.284806997,-9.91665174254,-8.3e-05,1.57428733356,15.0,0
-131.288297997,-8.9166578361,-8.3e-05,1.57428683531,15.0,0
-131.291788499,-7.91666392792,-8.3e-05,1.57428683531,15.0,0
-131.295279,-6.91667001973,-8.3e-05,1.57428633357,15.0,0
-131.298769,-5.9166761098,-8.3e-05,1.57428733356,15.0,0
-131.302259999,-4.91668220336,-8.3e-05,1.57428733356,15.0,0
-131.305750999,-3.91668829692,-8.3e-05,1.57428633357,15.0,0
-131.309240999,-2.91669438698,-8.3e-05,1.57428733356,15.0,0
-131.312731998,-1.91670048054,-8.3e-05,1.57428733356,15.0,0
-131.316222998,-0.916706574101,-8.3e-05,1.44992036028,15.0,0
-131.19564117,0.0759968169818,-7.80000000001e-05,1.14605235091,15.0,0
-130.783553649,0.98714108414,-6.30000000017e-05,0.402742114714,15.0,0
-129.863563947,1.37908361413,-3.000000108e-06,0.195744609221,15.0,0
-128.882660829,1.57358059245,-3e-06,0.0930869915054,15.0,0
-127.886990296,1.66653320615,-3e-06,0.0440391149518,15.0,0
-126.887959861,1.71055808725,-3e-06,0.0208103197158,15.0,0
-125.888176388,1.73136690494,-3e-06,0.00983116243098,15.0,0
-124.888224713,1.74119790901,-3e-06,0.00464414233883,15.0,0
-123.888235497,1.74584203465,-3e-06,0.00219381745838,15.0,0
-122.888237904,1.74803585035,-3e-06,0.00103632073112,15.0,0
-121.88823844,1.7490721709,-3e-06,0.000489539343255,15.0,0
-120.88823856,1.74956171022,-3e-06,0.000231249579929,15.0,0
-119.888238587,1.7497929598,-3e-06,0.0001092381383,15.0,0
-118.888238593,1.74990219794,-3e-06,5.16021295109e-05,15.0,0
-117.888238594,1.74995380007,-3e-06,2.43759167557e-05,15.0,0
-116.888238595,1.74997817598,-3e-06,1.1514744122e-05,15.0,0
-115.888238595,1.74998969073,-3e-06,5.43935776913e-06,15.0,0
-114.888238595,1.74999513009,-3e-06,2.56945465975e-06,15.0,0
-113.888238595,1.74999769954,-3e-06,1.21376411128e-06,15.0,0
-112.888238595,1.7499989133,-3e-06,5.73360309079e-07,15.0,0
-111.888238595,1.74999948666,-3e-06,2.70845085137e-07,15.0,0
-110.888238595,1.74999975751,-3e-06,1.27942340976e-07,15.0,0
-109.888238595,1.74999988545,-3e-06,6.04376579442e-08,15.0,0
-108.888238595,1.74999994589,-3e-06,2.85496612449e-08,15.0,0
-107.888238595,1.74999997444,-3e-06,1.34863458279e-08,15.0,0
-106.888238595,1.74999998793,-3e-06,6.3707069161e-09,15.0,0
-105.888238595,1.7499999943,-3e-06,3.00940725967e-09,15.0,0
-104.888238595,1.74999999731,-3e-06,1.42158984533e-09,15.0,0
-103.888238595,1.74999999873,-3e-06,6.71533501655e-10,15.0,0
-102.888238595,1.7499999994,-3e-06,3.17220336657e-10,15.0,0
-101.888238595,1.74999999972,-3e-06,1.49849220309e-10,15.0,0
-100.888238595,1.74999999987,-3e-06,7.07860606668e-11,15.0,0
-99.8882385947,1.74999999994,-3e-06,3.34380693193e-11,15.0,0
-98.8882385947,1.74999999997,-3e-06,1.57955039067e-11,15.0,0
-97.8882385947,1.74999999999,-3e-06,7.4614677311e-12,15.0,0
-96.8882385947,1.74999999999,-3e-06,3.5247172692e-12,15.0,0
-95.8882385947,1.75,-3e-06,1.66500305224e-12,15.0,0
-94.8882385947,1.75,-3e-06,7.86459716416e-13,15.0,0
-93.8882385947,1.75,-3e-06,3.71497655408e-13,15.0,0
-92.8882385947,1.75,-3e-06,1.75497788648e-13,15.0,0
-91.8882385947,1.75,-3e-06,8.29455503088e-14,15.0,0
-90.8882385947,1.75,-3e-06,3.91296805129e-14,15.0,0
-89.8882385947,1.75,-3e-06,1.85104476678e-14,15.0,0
-88.8882385947,1.75,-3e-06,8.78660490559e-15,15.0,0
-87.8882385947,1.75,-3e-06,4.10041562261e-15,15.0,0
-86.8882385947,1.75,-3e-06,1.99163044527e-15,15.0,0
-85.8882385947,1.75,-3e-06,9.37237856596e-16,15.0,0
-84.8882385947,1.75,-3e-06,4.68618928298e-16,15.0,0
-83.8882385947,1.75,-3e-06,2.34309464149e-16,15.0,0
-82.8882385947,1.75,-3e-06,1.17154732075e-16,15.0,0
-81.8882385947,1.75,-3e-06,0.0,15.0,0
-80.8882385947,1.75,-3e-06,0.0,15.0,0
-79.8882385947,1.75,-3e-06,0.0,15.0,0
-78.8882385947,1.75,-3e-06,0.0,15.0,0
-77.8882385947,1.75,-3e-06,0.0,15.0,0
-76.8882385947,1.75,-3e-06,0.0,15.0,0
-75.8882385947,1.75,-3e-06,0.0,15.0,0
-74.8882385947,1.75,-3e-06,0.0,15.0,0
-73.8882385947,1.75,-3e-06,0.0,15.0,0
-72.8882385947,1.75,-3e-06,0.0,15.0,0
-71.8882385947,1.75,-3e-06,0.0,15.0,0
-70.8882385947,1.75,-3e-06,0.0,15.0,0
-69.8882385947,1.75,-3e-06,0.0,15.0,0
-68.8882385947,1.75,-3e-06,0.0,15.0,0
-67.8882385947,1.75,-3e-06,0.0,15.0,0
-66.8882385947,1.75,-3e-06,0.0,15.0,0
-65.8882385947,1.75,-3e-06,0.0,15.0,0
-64.8882385947,1.75,-3e-06,0.0,15.0,0
-63.8882385947,1.75,-3e-06,0.0,15.0,0
-62.8882385947,1.75,-3e-06,0.0,15.0,0
-61.8882385947,1.75,-3e-06,0.0,15.0,0
-60.8882385947,1.75,-3e-06,0.0,15.0,0
-59.8882385947,1.75,-3e-06,0.0,15.0,0
-58.8882385947,1.75,-3e-06,0.0,15.0,0
-57.8882385947,1.75,-3e-06,0.0,15.0,0
-56.8882385947,1.75,-3e-06,0.0,15.0,0
-55.8882385947,1.75,-3e-06,0.0,15.0,0
-54.8882385947,1.75,-3e-06,0.0,15.0,0
-53.8882385947,1.75,-3e-06,0.0,15.0,0
-52.8882385947,1.75,-3e-06,0.0,15.0,0
-51.8882385947,1.75,-3e-06,0.0,15.0,0
-50.8882385947,1.75,-3e-06,0.0,15.0,0
