x,y,z,yaw,velocity,change_flag
-38.25,-10.426963,-8.2e-05,-1.57079632679,15.0,0
-38.25,-11.426963,-8.2e-05,-1.57079632679,15.0,0
-38.25,-12.426963,-8.2e-05,-1.57079632679,15.0,0
-38.25,-13.426963,-8.2e-05,-1.57079632679,15.0,0
-38.25,-14.426963,-8.2e-05,-1.57079632679,15.0,0
-38.25,-15.426963,-8.2e-05,-1.57079632679,15.0,0
-38.25,-16.426963,-8.2e-05,-1.57079632679,15.0,0
-38.25,-17.426963,-8.2e-05,-1.57079632679,15.0,0
-38.25,-18.426963,-8.2e-05,-1.57079632679,15.0,0
-38.25,-19.426963,-8.2e-05,-1.57079632679,15.0,0
-38.25,-20.426963,-8.2e-05,-1.57079632679,15.0,0
-38.25,-21.426963,-8.2e-05,-1.57079632679,15.0,0
-38.25,-22.426963,-8.2e-05,-1.57079632679,15.0,0
-38.25,-23.426963,-8.2e-05,-1.57079632679,15.0,0
-38.25,-24.426963,-8.2e-05,-1.57079632679,15.0,0
-38.25,-25.426963,-8.2e-05,-1.57079632679,15.0,0
-38.25,-26.426963,-8.2e-05,-1.57079632679,15.0,0
-38.25,-27.426963,-8.2e-05,-1.57079632679,15.0,0
-38.25,-28.426963,-8.2e-05,-1.57079632679,15.0,0
-38.25,-29.426963,-8.2e-05,-1.57079632679,15.0,0
-38.25,-30.426963,-8.2e-05,-1.57079632679,15.0,0
-38.25,-31.426963,-8.2e-05,-1.57079632679,15.0,0
-38.25,-32.426963,-8.2e-05,-1.57079632679,15.0,0
-38.25,-33.426963,-8.2e-05,-1.57079632679,15.0,0
-38.25,-34.426963,-8.2e-05,-1.57079632679,15.0,0
-38.25,-35.426963,-8.2e-05,-1.57079632679,15.0,0
-38.25,-36.426963,-8.2e-05,-1.57079632679,15.0,0
-38.25,-37.426963,-8.2e-05,-1.57079632679,15.0,0
-38.25,-38.426963,-8.2e-05,-1.57079632679,15.0,0
-38.25,-39.426963,-8.2e-05,-1.57079632679,15.0,0
-38.25,-40.426963,-8.2e-05,-1.57079632679,15.0,0
-38.25,-41.426963,-8.2e-05,-1.57079632679,15.0,0
-38.25,-42.426963,-8.2e-05,-1.57079632679,15.0,0
-38.25,-43.426963,-8.2e-05,-1.57079632679,15.0,0
-38.25,-44.426963,-8.2e-05,-1.57079632679,15.0,0
-38.25,-45.426963,-8.2e-05,-1.57079632679,15.0,0
